epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2911.84,2.20494,1.05411,0.93544,0.50302,0.14719,0.1662,0.07734,2.25917,1.12366,0.93504,0.0005941,0.0005941,0.0005941
43,2981.45,2.21926,1.07184,0.93824,0.48975,0.15908,0.17581,0.08201,2.28077,1.12212,0.9324,0.0005842,0.0005842,0.0005842
44,3050.89,2.20497,1.05201,0.94321,0.48736,0.16579,0.16525,0.07786,2.28385,1.12181,0.93767,0.0005743,0.0005743,0.0005743
45,3123.78,2.13962,1.03175,0.92932,0.45371,0.15068,0.15327,0.07315,2.37752,1.23487,0.93982,0.0005644,0.0005644,0.0005644
46,3192.77,2.20282,1.07127,0.9309,0.52781,0.16287,0.17878,0.08487,2.24304,1.06093,0.93325,0.0005545,0.0005545,0.0005545
47,3252.89,2.16586,1.04198,0.93268,0.29359,0.16245,0.17636,0.08363,2.18781,1.07113,0.92143,0.0005446,0.0005446,0.0005446
48,3321.3,2.19043,1.03911,0.92968,0.52608,0.17037,0.18513,0.08638,2.24258,1.10836,0.9337,0.0005347,0.0005347,0.0005347
49,3393.42,2.17124,1.04807,0.92979,0.47238,0.16185,0.17545,0.07738,2.20027,1.10242,0.92276,0.0005248,0.0005248,0.0005248
50,3464.58,2.17793,1.01787,0.92905,0.33501,0.16633,0.18256,0.08236,2.19011,1.08798,0.92205,0.0005149,0.0005149,0.0005149
51,3533.36,2.15093,1.02777,0.92498,0.5019,0.15884,0.17956,0.07917,2.25519,1.04684,0.92603,0.000505,0.000505,0.000505
52,3600.29,2.099,1.00898,0.91894,0.52114,0.16343,0.1835,0.08414,2.15891,1.10495,0.92372,0.0004951,0.0004951,0.0004951
53,3669.51,2.11635,1.00912,0.92627,0.49977,0.15945,0.17368,0.07694,2.28596,1.09464,0.93593,0.0004852,0.0004852,0.0004852
54,3738.45,2.08355,1.00071,0.92695,0.48994,0.17057,0.17962,0.08346,2.231,1.03503,0.94126,0.0004753,0.0004753,0.0004753
55,3794.26,2.11391,1.01778,0.9286,0.33618,0.17389,0.18421,0.0849,2.21994,1.01133,0.9304,0.0004654,0.0004654,0.0004654
56,3847.02,2.09315,1.02061,0.92232,0.51298,0.15646,0.1769,0.08516,2.2258,1.12148,0.92406,0.0004555,0.0004555,0.0004555
